SCHOOL NAME,Num of SAT Test Takers,Critical Reading Avg Score,Math Avg. Score,Writing Avg. Score
PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,367,363
KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346
COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,361,359,357
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,379,361
MONROE ACADEMY FOR VISUAL ARTS & DESIGN,43,332,357,349
REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420
"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384
BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350
HIGH SCHOOL OF WORLD CULTURES,42,304,323,312
GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,416,390,394
GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,407,386,396
"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370
LOWER MANHATTAN ARTS ACADEMY,40,403,392,405
LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,375,365
URBAN ACTION ACADEMY,40,376,385,374
EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356
ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422
HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400
HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,398,378
BRONX GUILD,39,369,371,365
HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,363,371,350
BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,324,376,349
MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38,386,386,376
"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,383,400,374
SCHOOL FOR DEMOCRACY AND LEADERSHIP,38,377,404,372
ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38,343,356,330
HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386
"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,375,355,384
FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333
HUMANITIES PREPARATORY ACADEMY,36,426,403,426
BRONX LATIN,36,408,432,411
GOTHAM PROFESSIONAL ARTS ACADEMY,36,370,372,351
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,348
EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35,401,369,351
JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35,379,364,379
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367
"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359
PEACE AND DIVERSITY ACADEMY,34,390,401,364
BRONX HIGH SCHOOL OF BUSINESS,34,356,376,351
INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,311
CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381
"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,372,355,357
ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,366,342
SATELLITE ACADEMY HIGH SCHOOL,33,350,337,345
P.S. Q811,32,429,444,433
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,368,370
SCHOOL FOR EXCELLENCE,32,363,360,351
MONROE ACADEMY FOR BUSINESS/LAW,31,375,387,376
LYONS COMMUNITY SCHOOL,31,371,377,355
"HERITAGE SCHOOL, THE",31,358,351,345
URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512
LEADERSHIP INSTITUTE,30,361,353,367
PERFORMANCE CONSERVATORY HIGH SCHOOL,30,361,353,360
PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,298
FREEDOM ACADEMY HIGH SCHOOL,29,400,390,403
BROOKLYN GENERATION SCHOOL,29,374,377,394
HARLEM RENAISSANCE HIGH SCHOOL,29,357,318,333
LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363
DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,352,349,373
MULTICULTURAL HIGH SCHOOL,29,279,322,286
METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,368
NEW EXPLORERS HIGH SCHOOL,28,367,356,361
EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,341
